balance,lw_rev_total,lw_rev_phase,leaderboard_position_chems_all,leaderboard_position_chems_week,leaderboard_position_police_all,leaderboard_position_police_week,mcmmo_power_level,mcmmo_skill_ACROBATICS,mcmmo_skill_ALCHEMY,mcmmo_skill_ARCHERY,mcmmo_skill_AXES,mcmmo_skill_CROSSBOWS,mcmmo_skill_EXCAVATION,mcmmo_skill_FISHING,mcmmo_skill_HERBALISM,mcmmo_skill_MACES,mcmmo_skill_MINING,mcmmo_skill_REPAIR,mcmmo_skill_SALVAGE,mcmmo_skill_SMELTING,mcmmo_skill_SWORDS,mcmmo_skill_TAMING,mcmmo_skill_TRIDENTS,mcmmo_skill_UNARMED,mcmmo_skill_WOODCUTTING,chemrank,policerank,donorrank,goldrank,current_month_votes,plan_player_time_total_raw,plan_player_time_month_raw,plan_player_time_week_raw,plan_player_time_day_raw,plan_player_time_afk_raw,plan_player_latest_session_length_raw,plan_player_favorite_server,plan_player_lastseen,plan_player_sessions_count,plan_player_relativePlaytime_totalmonth,plan_player_relativePlaytime_weekmonth,plan_player_relativePlaytime_dayweek,active
66095185.67,15131754,6354152,53,7,0,0,3756, 529, 128, 153, 47, 0, 139, 599, 797, 67, 599, 50, 324, 324, 648, 0, 0, 0, 0,12,0,0,1,186,2435618631,2286438069,558866733,69615770,1869474957,1094474,Underworld-A,91320,2101,1.0652458354427443,0.24442679667436906,0.12456595801704304,1
59855827.83,1311046,0,20,0,5,0,11859, 1520, 857, 112, 11, 0, 283, 159, 6409, 26, 1178, 109, 134, 643, 994, 0, 0, 1, 200,143,0,4,0,21,2054917080,17502509,0,0,682042906,122821,Underworld-B,1030683,2321,117.40700033349505,0.0,0.0,1
49137649.57,79291,0,69,0,69,0,8230, 1203, 72, 119, 131, 0, 951, 75, 3576, 0, 1428, 63, 69, 745, 425, 15, 0, 5, 167,40,0,4,1,0,2630868902,100402271,32511329,26517621,676059235,220870,Underworld-B,110460,3931,26.203280820211727,0.32381069348521013,0.8156424795799643,1
39446588.55,0,0,236,0,0,0,954, 296, 65, 0, 10, 0, 24, 0, 44, 0, 495, 0, 0, 247, 4, 14, 0, 2, 0,5,0,5,0,0,8036906806,1211374344,0,0,7931043156,22429099,Underworld-A,1174023,587,6.634536091842474,0.0,0.0,1
36725416.26,3150,0,324,57,0,0,2343, 146, 0, 118, 22, 0, 406, 135, 1098, 0, 296, 20, 77, 158, 13, 0, 0, 0, 89,9,0,5,0,0,7344914062,2166569694,440003980,33923630,6660499724,2021537,Town,155040,1562,3.3901120662495523,0.20308784952477046,0.07709846170027826,1
35172134.57,518237,196795,56,0,0,0,10361, 766, 316, 255, 5, 0, 955, 957, 3510, 92, 1486, 1059, 1008, 1272, 722, 3, 0, 2, 233,66,0,5,1,35,3347344818,19523340,3762518,0,2552062565,1963531,Underworld-B,455940,2894,171.45349197422163,0.1927189712416011,0.0,1
34748796.21,55000,0,31,0,0,0,12785, 1623, 246, 221, 323, 103, 349, 578, 4260, 803, 1965, 379, 478, 1172, 1038, 380, 262, 124, 131,143,0,5,0,49,10215790054,2449043653,605352194,83821107,9383339816,331019,Underworld-A,108360,3247,4.171338490224944,0.24717901343181978,0.1384666774661099,1
33850034.83,20258917,7966688,3,0,0,0,21319, 1741, 531, 381, 1, 0, 482, 1814, 13520, 0, 1186, 111, 962, 648, 1372, 0, 50, 1, 129,143,0,5,0,180,3815642922,761986104,82449673,23912727,1833128297,19891190,Underworld-B,124380,4784,5.0074967272631525,0.10820364382917932,0.29002816057257136,1
30526500.0,2423561,1088265,60,74,28,0,10479, 973, 1212, 517, 203, 36, 319, 548, 2843, 0, 740, 1438, 993, 1089, 975, 75, 29, 69, 502,13,0,5,0,0,2055850484,111529521,31785898,14122368,928888465,87917,Underworld-B,106200,3869,18.433240504995982,0.28499986115783643,0.4442966500427328,1
30221537.58,0,0,9,0,0,0,10810, 108, 0, 52, 1, 0, 608, 925, 7271, 0, 975, 79, 502, 527, 498, 0, 0, 2, 291,143,0,4,0,0,5502441988,11081439,0,0,4113875404,58103,Underworld-B,2282823,5521,496.5457995121392,0.0,0.0,0
29809814.17,0,0,99,0,0,0,994, 11, 0, 0, 4, 0, 35, 0, 389, 0, 555, 0, 0, 277, 0, 0, 0, 0, 0,13,0,0,0,0,4365482200,0,0,0,4083801147,19289533,Underworld-A,3492063,1246,0.0,0.0,0.0,0
29655764.76,1540318,0,35,0,29,0,5733, 118, 0, 0, 0, 0, 78, 69, 4401, 0, 1034, 16, 42, 525, 16, 0, 0, 1, 0,143,0,1,0,21,2258114537,303063964,0,0,1509447115,16576,Underworld-A,860103,3168,7.450950311598247,0.0,0.0,1
29397679.08,0,0,98,0,0,0,4996, 761, 0, 339, 322, 0, 186, 746, 784, 0, 876, 321, 533, 598, 553, 0, 0, 34, 74,26,0,3,0,0,1047696681,0,0,0,281891956,442699,Town,5268243,852,0.0,0.0,0.0,0
25737286.88,0,0,59,0,0,0,5357, 287, 0, 111, 23, 0, 159, 406, 3030, 0, 852, 0, 203, 426, 471, 0, 0, 1, 17,41,0,3,1,0,1438989107,5874240,0,0,632006548,89533,Underworld-A,2380563,1875,244.966005304516,0.0,0.0,0
35393643.83,23830118,9404748,34,6,0,0,5449, 101, 0, 342, 6, 0, 69, 850, 3493, 0, 337, 9, 429, 173, 240, 0, 0, 1, 1,143,0,2,1,186,960236669,653090649,156082295,9782047,137584946,1884392,Underworld-A,90240,2826,1.470296153329245,0.23899024620700088,0.06267236780443292,1
18903965.13,4917969,1146207,51,12,0,0,14165, 1701, 8, 17, 530, 0, 1119, 610, 5138, 588, 2107, 193, 401, 1150, 1738, 0, 0, 1, 415,92,0,5,1,165,9517164594,2279958319,481031786,88276963,8541831382,2765936,Underworld-B,89100,2761,4.174271307808062,0.21098271051331444,0.18351586229688363,1
20972500.0,6594965,3312353,17,8,0,0,8567, 50, 0, 29, 33, 0, 385, 404, 5296, 0, 2028, 202, 303, 1115, 133, 0, 0, 0, 7,36,0,1,1,131,3901482457,1226542740,308186712,23970180,2338471726,25657,Underworld-A,92640,3714,3.1808777059004076,0.25126455193889125,0.07777811004388795,1
19226335.56,0,0,84,0,0,0,6029, 1436, 0, 202, 463, 0, 334, 603, 555, 0, 1019, 34, 318, 526, 1345, 0, 0, 17, 21,26,0,2,1,40,915580685,506558,0,0,473807969,67570,Spawn,1735323,737,1807.4547929358534,0.0,0.0,0
17470961.89,1914094,534344,611,0,50,0,38, 5, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 14, 5, 0, 0, 0, 0,11,0,5,1,180,526572233,69908304,12073725,39813,486596903,39813,Spawn,118440,228,7.53232738989062,0.17270802335585198,0.0032974910394265233,1
16279401.79,142112,0,22,0,0,0,10895, 175, 0, 0, 0, 0, 184, 0, 8709, 0, 1687, 123, 61, 905, 17, 0, 0, 0, 0,143,0,5,1,52,9433964531,2458574103,565244924,99222524,8485356648,23240808,Underworld-B,82980,4123,3.8371690808458823,0.22990762137707266,0.17553899166018871,1
15952030.43,6450923,1258671,41,43,37,0,6561, 933, 2, 0, 434, 0, 126, 459, 3085, 0, 688, 2, 230, 345, 826, 0, 0, 1, 5,117,0,3,0,111,1206869853,280388556,30960066,0,167127053,1334172,Underworld-B,470100,3231,4.30427643059726,0.11041843662121503,0.0,1
15198946.41,278160,181960,107,0,0,0,277, 1, 0, 0, 0, 0, 0, 254, 12, 0, 0, 0, 127, 0, 8, 0, 0, 0, 2,13,0,4,0,14,98184430,2170787,0,0,4521856,1579496,Spawn,719163,66,45.229877459188764,0.0,0.0,1
15086381.71,0,0,0,0,0,0,651, 213, 0, 0, 0, 0, 1, 0, 0, 0, 437, 0, 0, 218, 0, 0, 0, 0, 0,5,0,0,0,0,19510389,0,0,0,227677,25125,Underworld-A,6664563,32,0.0,0.0,0.0,0
4750.0,252062,0,58,45,0,0,5049, 312, 236, 0, 2, 0, 762, 148, 2421, 0, 673, 178, 163, 425, 171, 0, 0, 0, 146,28,0,5,0,20,2685529658,164774688,88865590,23289220,2061774194,831224,Underworld-A,115620,2748,16.298192948179032,0.539315783744649,0.26207241745652055,1
13172094.15,8810557,2729722,13,58,0,0,10875, 482, 230, 56, 25, 0, 73, 1665, 6878, 0, 835, 29, 847, 432, 510, 0, 0, 3, 89,143,0,2,1,96,1330791379,251378465,64932536,0,382797913,357766,Underworld-B,463080,3046,5.293975277476533,0.25830588153205564,0.0,1
12734349.15,4609943,1949271,47,19,0,0,7914, 369, 314, 0, 76, 0, 619, 1218, 2769, 0, 1743, 59, 638, 901, 611, 0, 0, 1, 135,89,0,4,1,146,3961810220,895948127,207633094,10470886,2146909885,1701814,Underworld-B,96420,2897,4.421919194435684,0.2317467805811932,0.050429754709526216,1
11877311.61,210112,0,5,0,0,0,19267, 922, 162, 275, 271, 0, 498, 1076, 13240, 0, 1164, 272, 674, 718, 720, 180, 0, 193, 294,143,0,5,1,35,3759712589,324482642,2417050,1201322,1191133525,537754,Underworld-A,139380,5108,11.586791101756377,0.007448934664431141,0.49701992097805175,1
11463942.16,96200,0,239,64,0,0,1814, 50, 10, 0, 0, 0, 4, 2, 1046, 0, 701, 0, 1, 350, 0, 1, 0, 0, 0,26,0,5,1,21,313667859,14067421,10732599,6014611,166469483,499049,Underworld-B,165420,374,22.297467247194778,0.7629400584513679,0.5604058252805308,1
11067426.6,1216619,229672,145,0,0,0,643, 100, 0, 0, 0, 0, 0, 146, 339, 0, 57, 0, 73, 28, 1, 0, 0, 0, 0,2,0,1,0,104,560681044,255157941,0,0,398818569,8040449,Town,853983,346,2.1973881816204184,0.0,0.0,1
9380119.86,1150848,1150848,11,15,0,0,7973, 1181, 0, 108, 24, 0, 393, 1264, 2243, 289, 1501, 65, 664, 783, 903, 0, 1, 1, 0,143,0,4,0,0,2071918410,18549353,14254916,0,706166164,122965,Underworld-B,457320,2747,111.69761069294438,0.7684858873514349,0.0,1
9248264.8,1136519,314000,119,0,0,0,3784, 298, 0, 69, 130, 0, 350, 407, 714, 0, 1381, 12, 209, 696, 246, 0, 0, 3, 174,9,0,3,1,49,2765575373,667399162,190966797,12376545,1751440769,375419,Underworld-B,91800,2302,4.143810077184364,0.2861358057863429,0.06480993133062812,1
8768549.15,1984715,0,68,0,0,0,3872, 69, 0, 0, 14, 0, 51, 0, 3394, 0, 285, 0, 0, 142, 56, 0, 0, 2, 1,53,0,5,0,35,308668406,93049690,0,0,94468901,430327,Underworld-B,1172823,408,3.317242711931657,0.0,0.0,1
8571268.13,1992292,764451,37,0,52,0,8522, 759, 397, 1, 35, 0, 304, 285, 4176, 38, 1700, 59, 172, 879, 731, 0, 0, 2, 35,143,0,4,0,88,6840989960,675697662,49781346,0,5903964892,6115301,Underworld-A,512523,5136,10.124335697346249,0.07367399474589273,0.0,1
8544750.67,386940,111920,272,0,0,0,1747, 132, 0, 0, 4, 0, 177, 0, 151, 0, 1023, 51, 25, 537, 28, 0, 0, 1, 180,11,0,5,0,42,211673591,3892871,429890,0,6265110,429890,Spawn,572883,376,54.374673858959106,0.1104300656250875,0.0,1
7794155.93,97850,0,94,0,0,0,2574, 160, 38, 9, 145, 0, 145, 158, 797, 0, 784, 147, 152, 465, 162, 0, 0, 3, 26,14,0,3,0,48,949593718,211242353,0,0,528165182,5262277,Underworld-A,1472583,1353,4.495280915565261,0.0,0.0,0
7622909.98,0,0,82,0,0,0,6008, 913, 0, 0, 0, 0, 189, 307, 2437, 0, 1289, 188, 247, 738, 576, 0, 0, 10, 99,39,0,4,0,0,1695340955,0,0,0,1110627998,95765,Underworld-A,6775563,1654,0.0,0.0,0.0,0
7183437.13,0,0,74,0,0,0,3845, 242, 21, 0, 117, 0, 170, 296, 1885, 0, 785, 104, 200, 444, 190, 0, 0, 0, 35,14,0,0,0,0,861987259,0,0,0,184213018,10444274,Underworld-B,5792703,1087,0.0,0.0,0.0,0
6898241.15,8237476,2549628,21,30,6,0,13896, 2306, 0, 47, 17, 0, 381, 1301, 4864, 826, 2041, 54, 677, 1047, 1868, 0, 0, 1, 190,143,143,4,0,45,4064740937,639331170,180712180,16911776,1806284297,1706923,Underworld-B,82800,5071,6.357801915085729,0.2826581722896445,0.09358404065514565,1
6656401.23,0,0,0,0,8,0,2119, 10, 0, 4, 0, 0, 68, 36, 72, 0, 1225, 435, 235, 830, 269, 0, 0, 0, 0,0,0,5,1,0,423693019,0,0,0,155086603,42433725,Spawn,4160103,204,0.0,0.0,0.0,0
6639925.55,0,0,547,0,0,0,117, 23, 0, 0, 9, 0, 0, 0, 48, 0, 2, 0, 0, 1, 34, 0, 0, 0, 1,3,0,3,0,0,15579936,0,0,0,6014081,7619368,Underworld-B,6987483,23,0.0,0.0,0.0,0
3374551.77,13164919,1281155,42,17,0,0,10416, 1645, 161, 158, 1228, 1, 398, 1119, 3380, 102, 1160, 119, 619, 639, 628, 186, 4, 58, 69,0,0,4,1,75,1340216707,358072624,51783988,13512196,641395801,628989,Underworld-A,92160,3116,3.7428628081883186,0.14461867378054571,0.2609338624132232,1
5748070.27,0,0,0,0,0,0,1017, 3, 0, 13, 0, 0, 4, 959, 17, 0, 0, 0, 479, 0, 20, 0, 0, 1, 0,0,1,2,0,0,197709111,0,0,0,76963176,574485,Spawn,6586983,108,0.0,0.0,0.0,0
5583090.73,124033,390,100,0,32,0,7434, 976, 1008, 21, 8, 0, 73, 191, 3722, 494, 221, 134, 162, 177, 583, 1, 0, 0, 2,0,7,3,1,0,924436624,11798185,2731496,0,251119398,506375,Underworld-B,448443,1285,78.35413870862341,0.2315183225216421,0.0,1
5658787.38,0,0,0,0,0,0,2224, 8, 0, 0, 0, 0, 0, 2020, 0, 0, 0, 196, 1108, 98, 0, 0, 0, 0, 0,3,0,5,0,0,641252479,0,0,0,511074041,122623,Town,3036243,307,0.0,0.0,0.0,0
5608306.98,0,0,182,0,0,0,1770, 139, 0, 0, 9, 0, 75, 243, 329, 0, 251, 100, 171, 175, 622, 0, 0, 2, 0,0,0,3,0,0,675878402,0,0,0,509076668,27320,Underworld-A,5133663,584,0.0,0.0,0.0,0
5838203.24,8262310,2513941,0,0,3,1,2988, 424, 150, 4, 55, 1, 119, 55, 72, 71, 1527, 54, 54, 790, 369, 1, 0, 3, 83,0,143,4,1,54,1588988071,1157007851,283351474,78180958,697482858,5247519,Spawn,82800,838,1.373359800131555,0.2449002171896239,0.2759151272317009,1
5500290.0,0,0,95,0,0,0,3170, 366, 0, 0, 12, 0, 320, 81, 773, 0, 1058, 41, 61, 549, 469, 0, 0, 0, 50,12,0,3,0,0,1750569416,0,0,0,1280625290,166941,Underworld-B,7527363,1348,0.0,0.0,0.0,0
5255128.96,0,0,181,0,0,0,2846, 120, 159, 0, 0, 0, 289, 0, 1494, 0, 690, 1, 0, 345, 85, 0, 0, 0, 8,13,0,5,0,0,448119145,0,0,0,202918491,11743914,Town,9847863,546,0.0,0.0,0.0,0
529277.62,12275037,378828,27,52,58,0,9774, 1239, 43, 154, 7, 0, 158, 1678, 4319, 138, 749, 0, 839, 374, 1287, 0, 0, 0, 2,143,0,4,1,111,1074572075,257986632,5578378,1045342,167724459,29283,Spawn,96960,2706,4.165223859350976,0.02162274051471008,0.18739174720680457,1
5019692.06,0,0,72,0,0,0,3083, 249, 0, 0, 3, 0, 442, 153, 1011, 0, 940, 29, 91, 484, 256, 0, 0, 0, 0,20,0,5,0,0,664440579,218444860,0,0,400838255,163291,Underworld-A,1393623,899,3.0416855722766836,0.0,0.0,0
5013245.98,96200,0,225,0,0,0,2118, 97, 519, 0, 2, 0, 74, 0, 834, 0, 475, 47, 23, 261, 68, 0, 0, 0, 2,10,0,4,0,21,832258776,3122179,54399,0,653344884,54399,Underworld-B,517320,425,266.56344046898016,0.017423408459284365,0.0,1
4534183.63,0,0,39,0,0,0,8540, 302, 13, 289, 3, 0, 1077, 1096, 3318, 0, 1509, 421, 758, 965, 365, 0, 90, 1, 56,104,0,5,1,7,1457324098,3563891,3563891,0,431350002,142680,Underworld-A,469740,1703,408.9137681259051,1.0,0.0,1
4407129.74,0,0,64,0,0,0,3982, 266, 0, 0, 2, 0, 347, 0, 1852, 0, 1117, 93, 46, 605, 5, 0, 0, 1, 299,35,0,0,0,7,2963306299,265314,231209,231209,2601675703,180414,Underworld-B,132660,1809,11169.05364586867,0.8714542014367881,1.0,1
4257627.67,104752,0,96,0,0,0,2100, 121, 0, 0, 78, 0, 15, 0, 1301, 0, 525, 12, 6, 268, 48, 0, 0, 0, 0,26,0,2,1,7,394454461,556472,0,0,79690036,105534,Underworld-A,1395783,908,708.8487129630961,0.0,0.0,0
4231451.75,0,0,111,0,0,0,2860, 21, 0, 7, 0, 0, 194, 25, 1353, 0, 1227, 0, 12, 613, 33, 0, 0, 0, 0,38,0,4,0,0,416665658,0,0,0,212341911,232167,Underworld-A,3543723,573,0.0,0.0,0.0,0
4002471.28,0,0,290,0,0,0,26, 1, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 12, 0, 0, 0, 0, 0,7,0,3,0,0,19046222,0,0,0,900894,1294523,Spawn,3732123,15,0.0,0.0,0.0,0
3782530.58,0,0,245,0,0,0,1563, 107, 237, 0, 19, 0, 109, 173, 491, 0, 203, 0, 86, 101, 211, 0, 0, 0, 13,25,0,2,0,0,317675637,0,0,0,94717494,269971,Spawn,2778783,632,0.0,0.0,0.0,0
3784601.53,0,0,296,0,0,0,1445, 32, 0, 0, 0, 0, 0, 4, 221, 0, 1050, 106, 55, 578, 32, 0, 0, 0, 0,9,0,4,0,0,119339032,0,0,0,65168822,310309,Spawn,4866843,108,0.0,0.0,0.0,0
3631504.45,557500,111560,233,0,0,0,1717, 136, 0, 0, 7, 0, 132, 0, 627, 0, 575, 29, 14, 302, 95, 0, 0, 0, 116,11,0,0,0,144,993966976,1834022,1681380,0,812014079,1338268,Town,496920,291,541.9602251227085,0.9167719907394786,0.0,1
3459790.04,0,0,97,0,0,0,4354, 86, 0, 0, 16, 0, 229, 713, 1982, 0, 1026, 140, 426, 583, 66, 0, 0, 3, 93,26,0,4,0,0,1207443978,0,0,0,766995119,119753,Underworld-A,3650583,1303,0.0,0.0,0.0,0
3383621.24,0,0,124,0,0,0,1761, 68, 0, 11, 25, 0, 44, 66, 514, 0, 499, 5, 35, 252, 485, 0, 0, 1, 43,10,0,0,0,0,869817123,126551,0,0,489391201,126551,Underworld-A,1818783,683,6873.253652677577,0.0,0.0,0
3754925.73,2876393,2440366,55,48,0,0,6820, 137, 0, 88, 163, 0, 214, 1085, 1969, 0, 1761, 1034, 1059, 1397, 289, 0, 0, 6, 74,78,0,1,0,77,1214252955,323124745,141630339,21311822,131303446,259129,Underworld-B,122580,3285,3.7578457663463687,0.4383147412619235,0.1504749769750957,1
3247554.51,1222448,455717,205,44,0,0,881, 6, 0, 0, 0, 0, 40, 0, 278, 0, 557, 0, 0, 278, 0, 0, 0, 0, 0,3,0,4,0,42,50039118,49393429,19187741,5371298,11463666,5371298,Spawn,137340,32,1.0130723663667893,0.3884674821827009,0.27993383900689506,1
3224112.23,0,0,106,0,0,0,2289, 191, 77, 21, 14, 0, 88, 212, 634, 0, 719, 7, 109, 363, 278, 0, 0, 1, 47,26,0,0,0,21,500673589,77606664,0,0,37404259,144563,Underworld-A,1745703,850,6.451425215236671,0.0,0.0,0
3168647.0,362760,0,0,0,0,0,9, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 1, 0, 0,0,0,0,0,103,14750750,1344548,0,0,1164900,30504,Spawn,1221483,438,10.970787208786893,0.0,0.0,0
2788688.19,2610098,1078396,126,40,0,0,2643, 351, 0, 0, 2, 0, 317, 199, 1004, 0, 439, 4, 101, 221, 246, 21, 0, 1, 59,14,0,2,0,88,667783006,378473150,75875839,0,194469125,10663737,Town,437820,635,1.7644131585027893,0.2004787895786002,0.0,1
2778481.47,0,0,232,0,0,0,620, 33, 0, 0, 0, 0, 39, 0, 95, 0, 412, 1, 0, 206, 32, 0, 0, 0, 8,8,0,0,0,7,816351513,563940990,135903,0,758928623,4195,Spawn,452403,140,1.4475832178824242,0.0002409879799657762,0.0,1
2655848.33,1970580,1238777,159,16,0,0,1498, 40, 184, 0, 3, 0, 74, 188, 633, 0, 298, 6, 97, 152, 40, 0, 0, 0, 32,11,0,0,1,102,454493922,454493922,299290376,50668402,254497987,4244209,Underworld-B,88620,493,1.0,0.6585134839272944,0.16929512628230986,1
2691046.0,0,0,0,0,0,0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0,0,0,0,0,1783927,0,0,0,0,34849,Spawn,5908683,4,0.0,0.0,0.0,0
18583480.22,23087134,8308343,38,4,0,0,12184, 1337, 155, 262, 76, 12, 605, 720, 4407, 0, 2289, 627, 673, 1458, 1306, 192, 0, 14, 182,143,0,4,0,179,3468503507,2240346946,391715320,20299630,2567965220,930537,Underworld-A,86280,2723,1.5481992702928433,0.17484582943699115,0.05182240510787273,1
2591861.07,0,0,218,0,14,0,977, 96, 0, 281, 27, 0, 25, 144, 58, 0, 241, 0, 72, 120, 91, 0, 0, 8, 6,25,0,4,0,0,527908358,0,0,0,181353674,2713,Town,4016823,474,0.0,0.0,0.0,0
2522635.07,0,0,102,0,0,0,2416, 256, 14, 78, 57, 0, 259, 203, 552, 0, 484, 14, 108, 249, 458, 0, 0, 1, 40,26,0,0,0,0,488164710,62118,0,0,171624001,62118,Underworld-B,2109543,835,7858.667535979909,0.0,0.0,0
2506034.25,0,0,132,0,0,0,516, 6, 0, 0, 0, 0, 21, 0, 292, 0, 159, 0, 0, 79, 0, 0, 0, 1, 37,10,0,0,0,0,53712029,0,0,0,7297833,1191441,Spawn,4837083,45,0.0,0.0,0.0,0
2501459.49,0,0,113,0,0,0,5116, 447, 156, 0, 39, 0, 692, 70, 1881, 0, 1775, 0, 35, 887, 35, 0, 0, 0, 21,22,0,4,0,0,1720467743,0,0,0,1364789472,9310,Underworld-B,7192083,696,0.0,0.0,0.0,0
2472978.61,636184,316360,542,0,0,0,23, 4, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,0,2,0,91,70609519,3418065,922029,0,64718120,874884,Spawn,445200,16,20.65774612244062,0.2697517455051323,0.0,1
2345109.72,2342328,0,4,0,0,0,14631, 502, 0, 0, 1, 0, 153, 145, 12784, 0, 279, 86, 115, 182, 14, 0, 0, 666, 1,143,0,5,0,20,3525031697,133218680,0,0,1408109642,2852382,Underworld-B,856383,3952,26.46049110380016,0.0,0.0,1
2424252.2,1277933,480557,29,0,0,0,8293, 1031, 10, 40, 81, 0, 360, 789, 4231, 0, 1177, 72, 430, 624, 274, 0, 0, 2, 226,143,0,4,1,69,7777321273,1386698088,127027035,0,6208501774,152431,Underworld-B,439260,3442,5.608518061935916,0.0916039591452873,0.0,1
2389800.7,0,0,151,0,0,0,1703, 0, 312, 0, 0, 0, 49, 0, 757, 0, 307, 0, 0, 153, 278, 0, 0, 0, 0,9,0,4,0,0,241963586,0,0,0,120294462,344880,Underworld-A,3744903,354,0.0,0.0,0.0,0
2388771.15,0,0,101,0,0,0,1373, 96, 0, 1, 1, 0, 175, 0, 135, 0, 806, 24, 12, 415, 68, 0, 0, 0, 67,11,0,0,0,0,669056829,0,0,0,239980794,492791,Underworld-A,2938683,1130,0.0,0.0,0.0,0
2346895.4,802441,0,67,0,0,0,4067, 296, 42, 144, 37, 0, 72, 702, 1493, 0, 817, 19, 360, 418, 351, 5, 0, 1, 88,51,0,1,1,69,797652380,161562730,0,0,79625666,654434,Spawn,1312383,1125,4.937106348722877,0.0,0.0,0
