 mcmmo_power_level, mcmmo_skill_ACROBATICS, mcmmo_skill_ALCHEMY, mcmmo_skill_ARCHERY, mcmmo_skill_AXES, mcmmo_skill_CROSSBOWS, mcmmo_skill_EXCAVATION, mcmmo_skill_FISHING, mcmmo_skill_HERBALISM, mcmmo_skill_MACES, mcmmo_skill_MINING, mcmmo_skill_REPAIR, mcmmo_skill_SALVAGE, mcmmo_skill_SMELTING, mcmmo_skill_SWORDS, mcmmo_skill_TAMING, mcmmo_skill_TRIDENTS, mcmmo_skill_UNARMED, mcmmo_skill_WOODCUTTING, lw_rev_total, lw_rev_phase, chemrank, policerank, donorrank, goldrank, current_month_votes, plan_player_time_total_raw, plan_player_time_month_raw, plan_player_time_week_raw, plan_player_time_day_raw, plan_player_time_afk_raw, plan_player_latest_session_length_raw, plan_player_favorite_server, plan_player_lastseen, plan_player_sessions_count, leaderboard_position_chems_all, leaderboard_position_chems_week, leaderboard_position_police_all, leaderboard_position_police_week, balance,churn
1135,143.0,0.0,0.0,0.0,0.0,63.0,1.0,455.0,0.0,189.0,8.0,4.0,98.0,240.0,0.0,0.0,0.0,36.0,370353.0,100205.0,7,0,0,0,0,118434698,16963785,0,0,4745978,9129,Town,2267700,174,278,0,0,0,42502.14,1
8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1093699,1093699,0,0,0,29819,Town,1407780,8,0,0,0,0,10000.0,1
301,20.0,0.0,0.0,3.0,0.0,60.0,0.0,20.0,0.0,156.0,0.0,0.0,78.0,3.0,0.0,0.0,17.0,22.0,0.0,0.0,4,0,0,0,0,19069579,0,0,0,272788,287286,Town,3810960,12,662,0,0,0,44878.25,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,465164,465164,0,0,0,333313,Town,1323840,2,0,0,0,0,3484.0,1
1878,160.0,0.0,43.0,2.0,0.0,254.0,0.0,817.0,0.0,411.0,0.0,0.0,205.0,180.0,0.0,0.0,0.0,11.0,46011.0,46011.0,0,8,5,0,0,60462731,1697648,1697648,421072,2688284,270244,Town,117000,135,419,0,46,0,226269.52,0
14,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,13444502,13444502,13444502,91147,10337474,82928,Town,99720,16,0,0,0,0,890.0,0
38,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,70912.0,0.0,0,9,5,0,0,14399147,0,0,0,454267,1520835,Spawn,3132060,22,0,0,41,0,6327.13,1
97,21.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,13096944,1652253,0,0,397599,1422819,Town,1426380,65,338,0,0,0,197544.54,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,213071,0,0,0,0,177652,Spawn,2637060,2,0,0,0,0,0.0,1
142,16.0,0.0,0.0,0.0,0.0,38.0,0.0,26.0,0.0,35.0,1.0,0.0,18.0,15.0,0.0,0.0,0.0,11.0,33.0,33.0,2,0,0,0,0,9879291,9879291,0,0,198812,43345,Town,2390580,10,602,0,0,0,23597.25,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1266268,0,0,0,0,220483,Spawn,6694200,4,0,0,0,0,0.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,478019,478019,478019,478019,0,478019,Spawn,129840,1,0,0,0,0,10000.0,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0,0,0,0,1221054,0,0,0,0,707016,Town,4333740,2,0,0,0,0,32500.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,31670,0,0,0,0,2661,Spawn,5929440,3,0,0,0,0,0.0,1
6687,367.0,1097.0,3.0,1.0,0.0,46.0,0.0,4049.0,0.0,571.0,44.0,22.0,307.0,508.0,0.0,0.0,1.0,0.0,0.0,0.0,9,0,0,0,0,673234557,0,0,0,189551430,363102,Underworld-A,6077160,720,139,0,0,0,415769.48,1
35,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5554019,0,0,0,390402,818805,Spawn,3140100,5,0,0,0,0,6001.0,1
126,5.0,0.0,0.0,0.0,0.0,5.0,0.0,70.0,0.0,40.0,0.0,0.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,4046020,4046020,0,0,0,1032822,Town,2351880,3,591,0,0,0,15336.82,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,22708,22708,0,0,0,22708,Spawn,1593360,1,0,0,0,0,0.0,1
19535,1435.0,531.0,357.0,1.0,0.0,482.0,1479.0,12600.0,0.0,1186.0,111.0,795.0,648.0,1174.0,0.0,50.0,0.0,129.0,27507008.084,9190660.325,143,0,5,0,164,2999384447,892813158,214723285,47327583,1305180895,4815380,Underworld-B,86340,4218,3,4,0,0,62951836.35,0
126,6.0,0.0,0.0,0.0,0.0,18.0,0.0,12.0,0.0,76.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,14.0,86000.0,0.0,0,0,0,0,0,9773981,0,0,0,1304623,6507692,Town,3128760,5,0,0,0,0,93110.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,13462,0,0,0,0,13462,Spawn,7589580,1,0,0,0,0,0.0,1
84,4.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,57.0,0.0,0.0,28.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,2574918,2574918,2574918,0,0,998552,Town,587280,4,0,0,0,0,0.0,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,552470,552470,0,0,0,222865,Spawn,968280,2,0,0,0,0,10000.0,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,194762,0,0,0,0,194762,Spawn,2796540,1,0,0,0,0,0.0,1
11721,1069.0,0.0,8.0,32.0,0.0,1445.0,1795.0,4477.0,0.0,1456.0,0.0,897.0,728.0,1076.0,65.0,0.0,2.0,296.0,8453121.267,0.0,22,143,5,0,0,3102211900,0,0,0,1821695814,846187,Underworld-A,3128040,1771,41,0,3,0,7431.53,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,11987,0,0,0,0,11987,Spawn,7205100,1,0,0,0,0,0.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,863036,0,0,0,0,98321,Spawn,5281320,2,0,0,0,0,29500.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,129546,0,0,0,0,129546,Spawn,7470600,1,0,0,0,0,10000.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,32734,0,0,0,0,32734,Spawn,4255980,1,0,0,0,0,0.0,1
101,4.0,0.0,0.0,0.0,0.0,43.0,0.0,36.0,0.0,3.0,0.0,0.0,1.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,7,14074022,14074022,0,0,1080853,19732,Town,1229640,22,448,0,0,0,30979.88,1
41,15.0,0.0,0.0,0.0,0.0,16.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,22704771,22704771,22704771,0,0,203325,Town,99960,18,0,0,0,0,1075645.52,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,558474,0,0,0,0,558474,Spawn,7970220,1,0,0,0,0,10500.0,1
19,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0,4,0,0,695620,695620,0,0,0,672520,Town,2440020,2,0,0,0,0,0.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,161121,0,0,0,0,98197,Town,7551120,2,0,0,0,0,10000.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,1257096,317378,0,0,0,317378,Spawn,741900,7,0,0,0,0,15000.0,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,143375,0,0,0,0,143375,Spawn,7127100,1,0,0,0,0,10000.0,1
2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,1319788,0,0,0,0,8462,Spawn,7517700,7,0,0,0,0,0.0,1
42,4.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,27.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4765058,4765058,948275,0,186874,336054,Town,503040,7,0,0,0,0,6000.0,0
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,570074,0,0,0,0,67064,Underworld-B,4917360,3,0,0,0,0,10000.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,371394,371394,0,0,0,51719,Spawn,699060,2,0,0,0,0,0.0,0
94,6.0,0.0,0.0,0.0,0.0,16.0,0.0,9.0,0.0,60.0,0.0,0.0,30.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,0,11915814,0,0,0,1288226,1774,Town,5658240,14,524,0,0,0,891.26,1
96,6.0,0.0,0.0,0.0,0.0,4.0,14.0,2.0,0.0,49.0,1.0,7.0,25.0,14.0,0.0,0.0,0.0,6.0,2203.0,0.0,0,0,0,0,0,11397318,0,0,0,1919531,587320,Town,3476880,17,804,0,0,0,16733.95,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,17844,0,0,0,0,17844,Spawn,6058080,1,0,0,0,0,0.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,367815,0,0,0,0,367815,Spawn,7364700,1,0,0,0,0,0.0,1
11853,1514.0,857.0,112.0,11.0,0.0,283.0,159.0,6409.0,26.0,1178.0,109.0,134.0,643.0,994.0,0.0,0.0,1.0,200.0,9809796.575,2303884.775,143,0,4,0,34,2037414571,204435854,31058191,16349579,680623867,931999,Underworld-B,98700,2260,20,14,4,0,14984219.2,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,295330,0,0,0,0,173736,Town,7371420,2,0,0,0,0,0.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,270010,0,0,0,0,131002,Spawn,6395040,3,0,0,0,0,0.0,1
6008,913.0,0.0,0.0,0.0,0.0,189.0,307.0,2437.0,0.0,1289.0,188.0,247.0,738.0,576.0,0.0,0.0,10.0,99.0,0.0,0.0,39,0,4,0,0,1695340955,0,0,0,1110627998,95765,Underworld-A,4009980,1654,72,0,0,0,7622909.98,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,830611,0,0,0,0,138332,Spawn,6097440,2,0,0,0,0,10000.0,1
17,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1893193,0,0,0,0,86908,Town,5106600,6,0,0,0,0,1000.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,204420,0,0,0,0,204420,Spawn,5189220,1,0,0,0,0,0.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,984785,0,0,0,733367,984785,Spawn,2770980,1,0,0,0,0,1000.0,1
38,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4,0,0,0,0,5247838,0,0,0,740253,67897,Town,5036520,7,720,0,0,0,1308.77,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,53236,53236,0,0,0,12998,Spawn,1317180,2,0,0,0,0,0.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,1035439,0,0,0,0,42752,Spawn,3798300,4,0,0,0,0,0.0,1
1563,107.0,237.0,0.0,19.0,0.0,109.0,173.0,491.0,0.0,203.0,0.0,86.0,101.0,211.0,0.0,0.0,0.0,13.0,488160.0,219200.0,25,0,2,0,22,317675637,3520682,370266,370266,94717494,269971,Spawn,99600,632,219,0,0,0,3850786.58,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,110259,0,0,0,0,110259,Spawn,3079080,1,0,0,0,0,10000.0,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8250.0,0.0,3,0,0,0,0,1433523,0,0,0,0,1116719,Town,2898780,2,0,0,0,0,23613.0,1
4268,356.0,438.0,17.0,8.0,0.0,352.0,108.0,1442.0,0.0,1100.0,37.0,72.0,568.0,392.0,1.0,0.0,0.0,17.0,0.0,0.0,23,0,3,0,0,986902372,0,0,0,656898149,232379,Underworld-B,4237200,1110,133,0,0,0,598714.65,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,170723,0,0,0,0,78442,Town,7008600,4,0,0,0,0,1000.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,1228867,0,0,0,0,336956,Spawn,3763620,5,436,0,0,0,34838.65,1
37,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,31138944,0,0,0,14489005,2087201,Underworld-B,4318800,31,0,0,0,0,62901.22,1
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1706074,0,0,0,0,751765,Spawn,6689460,2,0,0,0,0,10000.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1650808,0,0,0,0,16380,Spawn,5538420,2,0,0,0,0,0.0,1
328,25.0,2.0,0.0,7.0,0.0,39.0,0.0,120.0,0.0,117.0,1.0,0.0,59.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,3,0,0,0,0,45398351,0,0,0,3655117,318015,Town,5243100,33,416,0,0,0,168131.81,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2122,0,0,0,0,2122,Spawn,7352760,1,0,0,0,0,0.0,1
36,6.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,18.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,7148892,0,0,0,0,698973,Town,6675960,7,0,0,0,0,15500.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50292,0,0,0,0,29031,Spawn,4304760,2,0,0,0,0,15000.0,1
68,3.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,48.0,1.0,0.0,24.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3,0,0,0,0,9193400,9193400,0,0,3438451,1386051,Town,2347140,9,668,0,0,0,8483.58,1
1717,136.0,0.0,0.0,7.0,0.0,132.0,0.0,627.0,0.0,575.0,29.0,14.0,302.0,95.0,0.0,0.0,0.0,116.0,497360.0,237360.0,10,0,0,0,111,992132954,511770,0,0,810998556,502828,Town,1038420,285,209,0,0,0,4447672.45,0
120,19.0,0.0,0.0,0.0,0.0,8.0,0.0,26.0,0.0,62.0,1.0,0.0,31.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,26732680,0,0,0,180555,116924,Underworld-A,4721880,86,321,0,0,0,292505.0,1
6468,225.0,0.0,0.0,8.0,0.0,429.0,0.0,4422.0,0.0,1142.0,159.0,79.0,650.0,79.0,0.0,0.0,1.0,3.0,6600.0,6600.0,91,0,5,0,1,2563921129,25597495,0,0,1631055084,773251,Underworld-B,1649220,1416,43,0,0,0,2571284.26,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,88895,88895,0,0,0,88895,Spawn,642900,1,0,0,0,0,0.0,0
8105,251.0,0.0,15.0,21.0,0.0,73.0,1308.0,5156.0,0.0,831.0,29.0,668.0,430.0,329.0,0.0,0.0,3.0,89.0,2490610.95,1398601.95,143,0,2,1,63,1063645638,408802844,108658789,206826,320173571,185053,Underworld-B,137820,2629,15,0,0,0,1139640.25,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,30239,0,0,0,0,30239,Spawn,7639980,1,0,0,0,0,0.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,892627,0,0,0,0,89631,Spawn,7538340,4,0,0,0,0,1000.0,1
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,734775,0,0,0,0,304917,Spawn,3977100,3,0,0,0,0,29000.0,1
78,3.0,0.0,0.0,4.0,0.0,12.0,0.0,10.0,0.0,36.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0,0,0,0,0,5294501,0,0,0,0,27749,Town,7900740,9,665,0,0,0,22647.16,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,147468,0,0,0,0,147468,Spawn,3173100,1,0,0,0,0,10000.0,1
175,5.0,0.0,0.0,0.0,0.0,28.0,0.0,26.0,0.0,107.0,1.0,0.0,54.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,2,0,0,0,0,18919384,0,0,0,1380783,6402,Town,3688320,33,581,0,0,0,63300.21,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,899700,0,0,0,0,899700,Spawn,5755320,1,0,0,0,0,37500.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,123219,69967,0,0,0,69967,Spawn,2549820,2,0,0,0,0,0.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,39655,39655,0,0,0,39655,Spawn,1906260,1,0,0,0,0,0.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,154885,154885,0,0,0,6508,Spawn,1317180,4,0,0,0,0,0.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,182185,182185,182185,0,0,182185,Spawn,115860,1,0,0,0,0,0.0,0
