 mcmmo_power_level, mcmmo_skill_ACROBATICS, mcmmo_skill_ALCHEMY, mcmmo_skill_ARCHERY, mcmmo_skill_AXES, mcmmo_skill_CROSSBOWS, mcmmo_skill_EXCAVATION, mcmmo_skill_FISHING, mcmmo_skill_HERBALISM, mcmmo_skill_MACES, mcmmo_skill_MINING, mcmmo_skill_REPAIR, mcmmo_skill_SALVAGE, mcmmo_skill_SMELTING, mcmmo_skill_SWORDS, mcmmo_skill_TAMING, mcmmo_skill_TRIDENTS, mcmmo_skill_UNARMED, mcmmo_skill_WOODCUTTING
2146,55.0,0.0,0.0,0.0,0.0,165.0,0.0,1024.0,0.0,830.0,0.0,0.0,415.0,55.0,0.0,0.0,0.0,17.0
10354,766.0,316.0,255.0,5.0,0.0,955.0,953.0,3509.0,92.0,1486.0,1057.0,1005.0,1271.0,722.0,3.0,0.0,2.0,233.0
994,11.0,0.0,0.0,4.0,0.0,35.0,0.0,389.0,0.0,555.0,0.0,0.0,277.0,0.0,0.0,0.0,0.0,0.0
4996,761.0,0.0,339.0,322.0,0.0,186.0,746.0,784.0,0.0,876.0,321.0,533.0,598.0,553.0,0.0,0.0,34.0,74.0
9777,973.0,1212.0,517.0,203.0,36.0,319.0,548.0,2843.0,0.0,740.0,736.0,642.0,738.0,975.0,75.0,29.0,69.0,502.0
5844,1436.0,0.0,202.0,463.0,0.0,315.0,472.0,520.0,0.0,1019.0,34.0,253.0,526.0,1345.0,0.0,0.0,17.0,21.0
954,296.0,65.0,0.0,10.0,0.0,24.0,0.0,44.0,0.0,495.0,0.0,0.0,247.0,4.0,14.0,0.0,2.0,0.0
5274,82.0,0.0,0.0,0.0,0.0,78.0,69.0,3987.0,0.0,1025.0,16.0,42.0,520.0,16.0,0.0,0.0,1.0,0.0
6577,44.0,0.0,0.0,15.0,0.0,382.0,326.0,3615.0,0.0,1876.0,200.0,263.0,1038.0,112.0,0.0,0.0,0.0,7.0
14375,478.0,0.0,0.0,1.0,0.0,153.0,145.0,12552.0,0.0,279.0,86.0,115.0,182.0,14.0,0.0,0.0,666.0,1.0
5357,287.0,0.0,111.0,23.0,0.0,159.0,406.0,3030.0,0.0,852.0,0.0,203.0,426.0,471.0,0.0,0.0,1.0,17.0
10895,175.0,0.0,0.0,0.0,0.0,184.0,0.0,8709.0,0.0,1687.0,123.0,61.0,905.0,17.0,0.0,0.0,0.0,0.0
7468,697.0,397.0,1.0,25.0,0.0,304.0,279.0,3338.0,38.0,1700.0,57.0,168.0,878.0,595.0,0.0,0.0,2.0,35.0
13444,837.0,0.0,12.0,1.0,0.0,171.0,850.0,9256.0,90.0,1613.0,152.0,501.0,882.0,457.0,0.0,1.0,1.0,3.0
651,213.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,437.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0
277,1.0,0.0,0.0,0.0,0.0,0.0,254.0,12.0,0.0,0.0,0.0,127.0,0.0,8.0,0.0,0.0,0.0,2.0
8528,302.0,13.0,289.0,3.0,0.0,1077.0,1091.0,3318.0,0.0,1509.0,414.0,752.0,961.0,365.0,0.0,90.0,1.0,56.0
5028,312.0,236.0,0.0,2.0,0.0,762.0,148.0,2401.0,0.0,673.0,177.0,162.0,425.0,171.0,0.0,0.0,0.0,146.0
1812,50.0,10.0,0.0,0.0,0.0,4.0,0.0,1046.0,0.0,701.0,0.0,0.0,350.0,0.0,1.0,0.0,0.0,0.0
11853,1514.0,857.0,112.0,11.0,0.0,283.0,159.0,6409.0,26.0,1178.0,109.0,134.0,643.0,994.0,0.0,0.0,1.0,200.0
38,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0
11888,1415.0,8.0,16.0,401.0,0.0,1114.0,573.0,4077.0,59.0,2094.0,188.0,380.0,1141.0,1527.0,0.0,0.0,1.0,415.0
5553,643.0,13.0,181.0,6.0,0.0,902.0,585.0,88.0,0.0,1112.0,215.0,400.0,663.0,1538.0,0.0,0.0,100.0,170.0
8187,1187.0,72.0,114.0,128.0,0.0,950.0,75.0,3576.0,0.0,1421.0,53.0,64.0,737.0,425.0,15.0,0.0,4.0,167.0
8503,1507.0,227.0,0.0,463.0,0.0,300.0,561.0,2036.0,6.0,1654.0,32.0,296.0,843.0,1485.0,0.0,0.0,167.0,65.0
5081,66.0,0.0,88.0,8.0,0.0,191.0,560.0,1845.0,0.0,1683.0,411.0,485.0,1047.0,159.0,0.0,0.0,6.0,64.0
6201,256.0,1353.0,1.0,5.0,0.0,273.0,108.0,2852.0,0.0,1170.0,112.0,110.0,641.0,55.0,0.0,0.0,0.0,16.0
7941,1162.0,0.0,104.0,24.0,0.0,393.0,1264.0,2241.0,286.0,1501.0,65.0,664.0,783.0,899.0,0.0,1.0,1.0,0.0
7369,947.0,1008.0,21.0,8.0,0.0,73.0,171.0,3722.0,481.0,221.0,134.0,152.0,177.0,580.0,1.0,0.0,0.0,2.0
3845,242.0,21.0,0.0,117.0,0.0,170.0,296.0,1885.0,0.0,785.0,104.0,200.0,444.0,190.0,0.0,0.0,0.0,35.0
4319,646.0,2.0,0.0,341.0,0.0,124.0,425.0,1428.0,0.0,688.0,2.0,213.0,345.0,658.0,0.0,0.0,1.0,4.0
6008,913.0,0.0,0.0,0.0,0.0,189.0,307.0,2437.0,0.0,1289.0,188.0,247.0,738.0,576.0,0.0,0.0,10.0,99.0
2119,10.0,0.0,4.0,0.0,0.0,68.0,36.0,72.0,0.0,1225.0,435.0,235.0,830.0,269.0,0.0,0.0,0.0,0.0
117,23.0,0.0,0.0,9.0,0.0,0.0,0.0,48.0,0.0,2.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,1.0
1778,167.0,55.0,10.0,14.0,0.0,86.0,91.0,410.0,0.0,624.0,6.0,48.0,315.0,267.0,0.0,0.0,1.0,47.0
8227,419.0,358.0,115.0,23.0,0.0,151.0,871.0,4992.0,128.0,595.0,56.0,463.0,325.0,440.0,0.0,0.0,79.0,0.0
2100,121.0,0.0,0.0,78.0,0.0,15.0,0.0,1301.0,0.0,525.0,12.0,6.0,268.0,48.0,0.0,0.0,0.0,0.0
3189,62.0,0.0,0.0,14.0,0.0,51.0,0.0,2718.0,0.0,285.0,0.0,0.0,142.0,56.0,0.0,0.0,2.0,1.0
1017,3.0,0.0,13.0,0.0,0.0,4.0,959.0,17.0,0.0,0.0,0.0,479.0,0.0,20.0,0.0,0.0,1.0,0.0
2300,137.0,38.0,9.0,137.0,0.0,127.0,138.0,752.0,0.0,655.0,117.0,127.0,386.0,162.0,0.0,0.0,2.0,26.0
8186,1212.0,119.0,152.0,861.0,0.0,286.0,672.0,3108.0,37.0,1021.0,74.0,373.0,547.0,598.0,28.0,4.0,5.0,9.0
2224,8.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,196.0,1108.0,98.0,0.0,0.0,0.0,0.0,0.0
1770,139.0,0.0,0.0,9.0,0.0,75.0,243.0,329.0,0.0,251.0,100.0,171.0,175.0,622.0,0.0,0.0,2.0,0.0
3170,366.0,0.0,0.0,12.0,0.0,320.0,81.0,773.0,0.0,1058.0,41.0,61.0,549.0,469.0,0.0,0.0,0.0,50.0
2846,120.0,159.0,0.0,0.0,0.0,289.0,0.0,1494.0,0.0,690.0,1.0,0.0,345.0,85.0,0.0,0.0,0.0,8.0
2118,97.0,519.0,0.0,2.0,0.0,74.0,0.0,834.0,0.0,475.0,47.0,23.0,261.0,68.0,0.0,0.0,0.0,2.0
5890,1416.0,508.0,186.0,920.0,0.0,122.0,556.0,78.0,0.0,859.0,225.0,390.0,542.0,694.0,0.0,0.0,292.0,34.0
3982,266.0,0.0,0.0,2.0,0.0,347.0,0.0,1852.0,0.0,1117.0,93.0,46.0,605.0,5.0,0.0,0.0,1.0,299.0
1717,136.0,0.0,0.0,7.0,0.0,132.0,0.0,627.0,0.0,575.0,29.0,14.0,302.0,95.0,0.0,0.0,0.0,116.0
5026,270.0,0.0,0.0,1.0,0.0,402.0,554.0,2234.0,0.0,1255.0,22.0,288.0,638.0,288.0,0.0,0.0,0.0,0.0
2860,21.0,0.0,7.0,0.0,0.0,194.0,25.0,1353.0,0.0,1227.0,0.0,12.0,613.0,33.0,0.0,0.0,0.0,0.0
11869,1697.0,0.0,46.0,17.0,0.0,381.0,1164.0,4819.0,715.0,2005.0,54.0,609.0,1029.0,780.0,0.0,0.0,1.0,190.0
7933,819.0,43.0,153.0,0.0,0.0,51.0,1282.0,3812.0,138.0,634.0,0.0,641.0,317.0,999.0,0.0,0.0,0.0,2.0
13370,1475.0,0.0,121.0,499.0,0.0,228.0,1043.0,6829.0,0.0,1279.0,137.0,590.0,708.0,1579.0,0.0,0.0,180.0,0.0
7497,889.0,0.0,49.0,154.0,21.0,257.0,1199.0,1283.0,0.0,2101.0,445.0,822.0,1273.0,794.0,85.0,0.0,8.0,212.0
11376,1355.0,436.0,8.0,8.0,0.0,311.0,892.0,5598.0,17.0,1713.0,72.0,482.0,892.0,965.0,0.0,0.0,1.0,0.0
26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
666,135.0,0.0,0.0,0.0,0.0,19.0,5.0,8.0,0.0,402.0,15.0,10.0,208.0,58.0,0.0,0.0,0.0,24.0
1445,32.0,0.0,0.0,0.0,0.0,0.0,4.0,221.0,0.0,1050.0,106.0,55.0,578.0,32.0,0.0,0.0,0.0,0.0
1563,107.0,237.0,0.0,19.0,0.0,109.0,173.0,491.0,0.0,203.0,0.0,86.0,101.0,211.0,0.0,0.0,0.0,13.0
504,67.0,0.0,0.0,0.0,0.0,8.0,175.0,27.0,0.0,162.0,0.0,87.0,81.0,65.0,0.0,0.0,0.0,0.0
6808,444.0,911.0,0.0,30.0,0.0,401.0,266.0,2553.0,0.0,1853.0,86.0,176.0,969.0,64.0,0.0,0.0,1.0,199.0
4354,86.0,0.0,0.0,16.0,0.0,229.0,713.0,1982.0,0.0,1026.0,140.0,426.0,583.0,66.0,0.0,0.0,3.0,93.0
1761,68.0,0.0,11.0,25.0,0.0,44.0,66.0,514.0,0.0,499.0,5.0,35.0,252.0,485.0,0.0,0.0,1.0,43.0
15283,868.0,133.0,3.0,36.0,0.0,535.0,790.0,11092.0,0.0,959.0,17.0,403.0,488.0,759.0,68.0,0.0,3.0,20.0
7036,244.0,328.0,0.0,8.0,0.0,325.0,189.0,3836.0,0.0,1466.0,347.0,268.0,906.0,209.0,0.0,0.0,1.0,83.0
3669,257.0,0.0,69.0,130.0,0.0,346.0,389.0,713.0,0.0,1379.0,12.0,200.0,695.0,202.0,0.0,0.0,1.0,171.0
376,37.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9702,1039.0,330.0,141.0,155.0,0.0,345.0,771.0,4205.0,0.0,1202.0,402.0,586.0,802.0,854.0,0.0,0.0,233.0,25.0
677,54.0,0.0,0.0,0.0,0.0,44.0,175.0,0.0,0.0,404.0,0.0,87.0,202.0,0.0,0.0,0.0,0.0,0.0
8765,1005.0,28.0,19.0,28.0,0.0,419.0,211.0,5132.0,0.0,786.0,13.0,112.0,399.0,1123.0,0.0,0.0,1.0,0.0
3676,38.0,0.0,0.0,0.0,0.0,10.0,532.0,2705.0,0.0,380.0,9.0,270.0,194.0,1.0,0.0,0.0,1.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13044,898.0,0.0,130.0,38.0,0.0,404.0,1671.0,7725.0,200.0,1002.0,13.0,842.0,507.0,660.0,0.0,0.0,1.0,302.0
6468,225.0,0.0,0.0,8.0,0.0,429.0,0.0,4422.0,0.0,1142.0,159.0,79.0,650.0,79.0,0.0,0.0,1.0,3.0
977,96.0,0.0,281.0,27.0,0.0,25.0,144.0,58.0,0.0,241.0,0.0,72.0,120.0,91.0,0.0,0.0,8.0,6.0
2853,46.0,41.0,67.0,3.0,0.0,137.0,145.0,1608.0,0.0,699.0,3.0,74.0,351.0,92.0,0.0,0.0,0.0,12.0
7527,1488.0,97.0,114.0,1.0,0.0,111.0,773.0,2903.0,1.0,758.0,18.0,395.0,388.0,1258.0,0.0,0.0,0.0,5.0
9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0
2416,256.0,14.0,78.0,57.0,0.0,259.0,203.0,552.0,0.0,484.0,14.0,108.0,249.0,458.0,0.0,0.0,1.0,40.0
5116,447.0,156.0,0.0,39.0,0.0,692.0,70.0,1881.0,0.0,1775.0,0.0,35.0,887.0,35.0,0.0,0.0,0.0,21.0
516,6.0,0.0,0.0,0.0,0.0,21.0,0.0,292.0,0.0,159.0,0.0,0.0,79.0,0.0,0.0,0.0,1.0,37.0
1373,96.0,0.0,1.0,1.0,0.0,175.0,0.0,135.0,0.0,806.0,24.0,12.0,415.0,68.0,0.0,0.0,0.0,67.0
1703,0.0,312.0,0.0,0.0,0.0,49.0,0.0,757.0,0.0,307.0,0.0,0.0,153.0,278.0,0.0,0.0,0.0,0.0
2379,157.0,0.0,0.0,23.0,0.0,211.0,1.0,830.0,0.0,794.0,2.0,1.0,398.0,297.0,0.0,0.0,0.0,64.0
422,106.0,0.0,0.0,0.0,0.0,23.0,103.0,0.0,0.0,156.0,1.0,52.0,78.0,33.0,0.0,0.0,0.0,0.0
1780,269.0,0.0,31.0,39.0,0.0,77.0,391.0,125.0,0.0,709.0,3.0,197.0,356.0,135.0,0.0,0.0,1.0,0.0
3298,385.0,0.0,0.0,0.0,0.0,215.0,189.0,194.0,0.0,2159.0,146.0,167.0,1152.0,9.0,0.0,0.0,0.0,1.0
473,93.0,0.0,0.0,0.0,0.0,13.0,68.0,173.0,0.0,92.0,17.0,42.0,54.0,14.0,0.0,0.0,1.0,2.0
1872,29.0,0.0,0.0,0.0,0.0,36.0,239.0,1255.0,0.0,297.0,7.0,123.0,152.0,7.0,0.0,0.0,1.0,1.0
2195,25.0,0.0,0.0,0.0,0.0,0.0,1165.0,419.0,0.0,81.0,357.0,761.0,219.0,148.0,0.0,0.0,0.0,0.0
365,85.0,0.0,3.0,0.0,0.0,47.0,41.0,52.0,0.0,71.0,0.0,20.0,35.0,47.0,0.0,0.0,2.0,17.0
378,149.0,0.0,0.0,0.0,0.0,6.0,49.0,0.0,0.0,111.0,0.0,24.0,55.0,63.0,0.0,0.0,0.0,0.0
1053,86.0,0.0,0.0,0.0,0.0,19.0,0.0,625.0,0.0,323.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0
1156,134.0,0.0,0.0,0.0,0.0,117.0,0.0,723.0,0.0,180.0,1.0,0.0,90.0,1.0,0.0,0.0,0.0,0.0
11358,1483.0,246.0,221.0,321.0,3.0,349.0,551.0,3379.0,668.0,1944.0,332.0,441.0,1138.0,964.0,380.0,262.0,124.0,131.0
1070,77.0,0.0,0.0,4.0,0.0,105.0,6.0,380.0,0.0,410.0,0.0,3.0,205.0,68.0,0.0,0.0,0.0,20.0
23,4.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,29.0,7.0,0.0,0.0,0.0,4.0,0.0,115.0,0.0,325.0,18.0,9.0,171.0,22.0,0.0,0.0,0.0,6.0
1354,108.0,0.0,118.0,4.0,0.0,44.0,298.0,260.0,0.0,329.0,12.0,155.0,170.0,173.0,0.0,0.0,2.0,6.0
6743,345.0,0.0,124.0,83.0,0.0,510.0,966.0,1953.0,0.0,1273.0,567.0,766.0,920.0,203.0,1.0,0.0,1.0,717.0
884,99.0,0.0,25.0,0.0,0.0,40.0,0.0,130.0,0.0,301.0,0.0,0.0,150.0,288.0,0.0,0.0,1.0,0.0
360,39.0,0.0,0.0,1.0,0.0,25.0,0.0,136.0,0.0,127.0,0.0,0.0,63.0,7.0,0.0,0.0,0.0,25.0
11109,1474.0,0.0,38.0,30.0,0.0,420.0,1080.0,3891.0,0.0,2088.0,174.0,627.0,1131.0,1645.0,0.0,0.0,1.0,268.0
635,8.0,0.0,0.0,0.0,0.0,43.0,0.0,33.0,0.0,333.0,0.0,0.0,166.0,218.0,0.0,0.0,0.0,0.0
1278,60.0,26.0,0.0,0.0,0.0,178.0,147.0,70.0,0.0,577.0,32.0,89.0,304.0,110.0,0.0,0.0,0.0,78.0
1142,1.0,0.0,0.0,0.0,0.0,53.0,0.0,139.0,0.0,881.0,0.0,0.0,440.0,68.0,0.0,0.0,0.0,0.0
2525,116.0,0.0,0.0,0.0,0.0,62.0,0.0,1537.0,0.0,691.0,0.0,0.0,345.0,118.0,0.0,0.0,1.0,0.0
1031,158.0,33.0,86.0,13.0,0.0,52.0,21.0,171.0,0.0,294.0,38.0,29.0,166.0,120.0,1.0,0.0,0.0,44.0
2988,38.0,247.0,0.0,0.0,0.0,74.0,145.0,1204.0,0.0,1060.0,43.0,94.0,551.0,127.0,0.0,0.0,0.0,50.0
3240,235.0,135.0,6.0,21.0,0.0,283.0,0.0,1015.0,0.0,1111.0,153.0,76.0,632.0,279.0,0.0,1.0,1.0,0.0
1167,18.0,0.0,221.0,0.0,0.0,16.0,343.0,107.0,0.0,133.0,4.0,173.0,68.0,263.0,10.0,0.0,26.0,26.0
1006,66.0,0.0,0.0,0.0,0.0,67.0,0.0,513.0,0.0,287.0,38.0,19.0,162.0,32.0,0.0,0.0,0.0,3.0
4365,79.0,184.0,81.0,15.0,0.0,352.0,431.0,1498.0,0.0,1056.0,296.0,363.0,676.0,248.0,0.0,0.0,1.0,124.0
889,29.0,116.0,0.0,0.0,0.0,44.0,0.0,188.0,0.0,480.0,2.0,1.0,241.0,30.0,0.0,0.0,0.0,0.0
2213,138.0,0.0,107.0,21.0,3.0,251.0,123.0,107.0,0.0,960.0,154.0,138.0,557.0,188.0,4.0,0.0,0.0,157.0
2305,110.0,0.0,0.0,2.0,0.0,260.0,24.0,1368.0,0.0,400.0,3.0,13.0,201.0,27.0,0.0,0.0,0.0,111.0
8105,251.0,0.0,15.0,21.0,0.0,73.0,1308.0,5156.0,0.0,831.0,29.0,668.0,430.0,329.0,0.0,0.0,3.0,89.0
393,53.0,0.0,5.0,2.0,0.0,5.0,13.0,46.0,0.0,157.0,1.0,7.0,79.0,96.0,0.0,0.0,1.0,14.0
1327,86.0,0.0,0.0,24.0,0.0,219.0,53.0,79.0,0.0,807.0,2.0,27.0,404.0,48.0,0.0,0.0,1.0,8.0
905,54.0,0.0,0.0,2.0,0.0,29.0,0.0,141.0,0.0,633.0,9.0,4.0,321.0,22.0,0.0,0.0,3.0,12.0
1414,57.0,0.0,2.0,9.0,0.0,64.0,669.0,53.0,0.0,257.0,8.0,338.0,132.0,202.0,0.0,0.0,0.0,93.0
1142,66.0,0.0,0.0,22.0,0.0,108.0,0.0,409.0,0.0,446.0,40.0,20.0,243.0,8.0,0.0,0.0,0.0,43.0
1801,27.0,0.0,0.0,9.0,0.0,129.0,0.0,1274.0,0.0,356.0,1.0,0.0,178.0,4.0,0.0,0.0,0.0,1.0
41,15.0,0.0,0.0,0.0,0.0,16.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
833,36.0,139.0,0.0,0.0,0.0,47.0,36.0,201.0,0.0,314.0,27.0,31.0,170.0,29.0,0.0,0.0,0.0,4.0
2433,335.0,0.0,0.0,9.0,0.0,64.0,0.0,988.0,0.0,517.0,10.0,5.0,263.0,469.0,0.0,0.0,0.0,41.0
126,41.0,0.0,0.0,0.0,0.0,9.0,0.0,27.0,0.0,22.0,0.0,0.0,11.0,14.0,1.0,0.0,0.0,12.0
47,17.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0
498,19.0,3.0,0.0,0.0,0.0,57.0,0.0,215.0,0.0,202.0,2.0,1.0,102.0,0.0,0.0,0.0,0.0,0.0
1173,72.0,9.0,0.0,17.0,0.0,117.0,68.0,362.0,0.0,299.0,1.0,34.0,150.0,170.0,1.0,0.0,1.0,56.0
808,84.0,0.0,17.0,1.0,2.0,48.0,53.0,94.0,0.0,242.0,1.0,27.0,121.0,261.0,0.0,0.0,0.0,5.0
597,49.0,0.0,0.0,0.0,0.0,60.0,0.0,92.0,0.0,276.0,23.0,11.0,149.0,45.0,1.0,0.0,0.0,51.0
3152,64.0,0.0,0.0,0.0,0.0,51.0,101.0,2525.0,0.0,358.0,15.0,58.0,186.0,38.0,0.0,0.0,0.0,0.0
479,27.0,0.0,0.0,0.0,0.0,56.0,0.0,189.0,0.0,183.0,2.0,1.0,92.0,9.0,0.0,0.0,0.0,13.0
1116,41.0,0.0,0.0,13.0,0.0,0.0,1.0,925.0,0.0,122.0,8.0,4.0,65.0,6.0,0.0,0.0,0.0,0.0
1397,69.0,0.0,93.0,18.0,0.0,535.0,116.0,172.0,0.0,309.0,18.0,67.0,163.0,19.0,1.0,0.0,0.0,47.0
575,34.0,0.0,0.0,3.0,0.0,85.0,0.0,11.0,0.0,395.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,47.0
52,1.0,0.0,0.0,0.0,0.0,6.0,0.0,31.0,0.0,14.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
593,30.0,0.0,0.0,0.0,0.0,2.0,0.0,450.0,0.0,104.0,1.0,0.0,52.0,1.0,0.0,0.0,1.0,4.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1023,36.0,0.0,0.0,1.0,0.0,102.0,0.0,438.0,0.0,359.0,3.0,1.0,181.0,34.0,0.0,0.0,1.0,49.0
981,87.0,0.0,38.0,0.0,0.0,77.0,53.0,412.0,0.0,135.0,2.0,27.0,68.0,149.0,2.0,0.0,0.0,26.0
424,34.0,0.0,0.0,0.0,0.0,8.0,0.0,80.0,0.0,283.0,0.0,0.0,141.0,19.0,0.0,0.0,0.0,0.0
3552,244.0,42.0,144.0,33.0,0.0,72.0,616.0,1175.0,0.0,786.0,18.0,317.0,402.0,328.0,5.0,0.0,1.0,88.0
508,51.0,0.0,0.0,6.0,0.0,33.0,94.0,127.0,0.0,132.0,1.0,47.0,66.0,12.0,0.0,0.0,1.0,51.0
334,142.0,0.0,0.0,0.0,0.0,0.0,40.0,32.0,0.0,52.0,0.0,20.0,26.0,65.0,2.0,0.0,1.0,0.0
2650,59.0,0.0,0.0,3.0,0.0,61.0,229.0,1398.0,0.0,556.0,33.0,131.0,294.0,305.0,0.0,0.0,1.0,5.0
3779,81.0,0.0,0.0,1.0,0.0,132.0,0.0,2366.0,0.0,1169.0,1.0,0.0,585.0,0.0,0.0,0.0,0.0,29.0
7912,669.0,462.0,108.0,465.0,0.0,477.0,462.0,2828.0,0.0,989.0,224.0,343.0,606.0,835.0,0.0,0.0,180.0,213.0
583,21.0,0.0,0.0,0.0,0.0,122.0,0.0,184.0,0.0,202.0,7.0,3.0,104.0,37.0,0.0,0.0,0.0,10.0
3638,262.0,68.0,11.0,113.0,0.0,106.0,156.0,1566.0,0.0,846.0,56.0,106.0,451.0,415.0,0.0,0.0,39.0,0.0
744,61.0,0.0,64.0,36.0,0.0,28.0,61.0,71.0,0.0,171.0,2.0,31.0,86.0,224.0,0.0,0.0,0.0,26.0
2102,132.0,0.0,0.0,1.0,0.0,46.0,0.0,1294.0,0.0,508.0,1.0,0.0,254.0,120.0,0.0,0.0,0.0,0.0
2029,45.0,0.0,0.0,0.0,0.0,103.0,4.0,1291.0,0.0,531.0,31.0,17.0,281.0,16.0,0.0,0.0,0.0,8.0
655,43.0,0.0,0.0,0.0,0.0,23.0,1.0,367.0,0.0,219.0,2.0,1.0,110.0,0.0,0.0,0.0,0.0,0.0
769,182.0,0.0,0.0,3.0,0.0,71.0,24.0,315.0,0.0,134.0,1.0,12.0,67.0,1.0,0.0,0.0,0.0,38.0
1307,187.0,42.0,21.0,11.0,0.0,125.0,0.0,301.0,0.0,255.0,0.0,0.0,127.0,290.0,0.0,0.0,2.0,73.0
1747,132.0,0.0,0.0,4.0,0.0,177.0,0.0,151.0,0.0,1023.0,51.0,25.0,537.0,28.0,0.0,0.0,1.0,180.0
8301,968.0,88.0,20.0,177.0,0.0,218.0,660.0,2803.0,0.0,2295.0,109.0,384.0,1202.0,958.0,0.0,4.0,1.0,0.0
740,88.0,0.0,57.0,0.0,0.0,130.0,4.0,323.0,0.0,89.0,8.0,6.0,48.0,33.0,0.0,0.0,0.0,8.0
241,3.0,0.0,0.0,0.0,0.0,7.0,0.0,26.0,0.0,205.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0
977,151.0,0.0,4.0,27.0,0.0,80.0,220.0,182.0,0.0,182.0,18.0,119.0,100.0,28.0,0.0,0.0,0.0,85.0
2600,409.0,5.0,9.0,272.0,0.0,73.0,152.0,783.0,0.0,370.0,85.0,118.0,227.0,146.0,33.0,0.0,3.0,260.0
