 mcmmo_power_level, mcmmo_skill_ACROBATICS, mcmmo_skill_ALCHEMY, mcmmo_skill_ARCHERY, mcmmo_skill_AXES, mcmmo_skill_CROSSBOWS, mcmmo_skill_EXCAVATION, mcmmo_skill_FISHING, mcmmo_skill_HERBALISM, mcmmo_skill_MACES, mcmmo_skill_MINING, mcmmo_skill_REPAIR, mcmmo_skill_SALVAGE, mcmmo_skill_SMELTING, mcmmo_skill_SWORDS, mcmmo_skill_TAMING, mcmmo_skill_TRIDENTS, mcmmo_skill_UNARMED, mcmmo_skill_WOODCUTTING, lw_rev_total, lw_rev_phase, chemrank, policerank, donorrank, goldrank, current_month_votes, plan_player_time_total_raw, plan_player_time_month_raw, plan_player_time_week_raw, plan_player_time_day_raw, plan_player_time_afk_raw, plan_player_latest_session_length_raw, plan_player_favorite_server, plan_player_lastseen, plan_player_sessions_count, leaderboard_position_chems_all, leaderboard_position_chems_week, leaderboard_position_police_all, leaderboard_position_police_week, balance
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,182863,0,0,0,0,44325,Spawn,Jul 17 2025 05:10,2,0,0,0,0,0 
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1413015,0,0,0,0,77213,Spawn,May 25 2025 05:26,6,0,0,0,0,2809.31 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,19644,0,0,0,0,19644,Spawn,Jun 8 2025 02:25,1,0,0,0,0,0 
1135,143.0,0.0,0.0,0.0,0.0,63.0,1.0,455.0,0.0,189.0,8.0,4.0,98.0,240.0,0.0,0.0,0.0,36.0,370353,100205,7,0,0,0,0,118434698,16963785,0,0,4745978,9129,Town,Jul 30 2025 18:05,174,278,0,0,0,42502.14 
8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1093699,1093699,0,0,0,29819,Town,Aug 9 2025 16:57,8,0,0,0,0,10000 
301,20.0,0.0,0.0,3.0,0.0,60.0,0.0,20.0,0.0,156.0,0.0,0.0,78.0,3.0,0.0,0.0,17.0,22.0,0,0,4,0,0,0,0,19069579,0,0,0,272788,287286,Town,Jul 12 2025 21:24,12,662,0,0,0,44878.25 
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,465164,465164,0,0,0,333313,Town,Aug 10 2025 16:16,2,0,0,0,0,3484 
1878,160.0,0.0,43.0,2.0,0.0,254.0,0.0,817.0,0.0,411.0,0.0,0.0,205.0,180.0,0.0,0.0,0.0,11.0,46011,46011,0,8,5,0,0,60462731,1697648,1697648,421072,2688284,270244,Town,Yesterday 15:30,135,419,0,46,0,226269.52 
14,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,13444502,13444502,13444502,91147,10337474,82928,Town,Yesterday 20:18,16,0,0,0,0,890 
38,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,70912,0,0,9,5,0,0,14399147,0,0,0,454267,1520835,Spawn,Jul 20 2025 17:59,22,0,0,41,0,6327.13 
97,21.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,13096944,1652253,0,0,397599,1422819,Town,Aug 9 2025 11:47,65,338,0,0,0,197544.54 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,213071,0,0,0,0,177652,Spawn,Jul 26 2025 11:29,2,0,0,0,0,0 
142,16.0,0.0,0.0,0.0,0.0,38.0,0.0,26.0,0.0,35.0,1.0,0.0,18.0,15.0,0.0,0.0,0.0,11.0,33,33,2,0,0,0,0,9879291,9879291,0,0,198812,43345,Town,Jul 29 2025 07:57,10,602,0,0,0,23597.25 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1266268,0,0,0,0,220483,Spawn,Jun 9 2025 12:30,4,0,0,0,0,0 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,478019,478019,478019,478019,0,478019,Spawn,Yesterday 11:56,1,0,0,0,0,10000 
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,1221054,0,0,0,0,707016,Town,Jul 6 2025 20:11,2,0,0,0,0,32500 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,31670,0,0,0,0,2661,Spawn,Jun 18 2025 08:56,3,0,0,0,0,0 
6687,367.0,1097.0,3.0,1.0,0.0,46.0,0.0,4049.0,0.0,571.0,44.0,22.0,307.0,508.0,0.0,0.0,1.0,0.0,0,0,9,0,0,0,0,673234557,0,0,0,189551430,363102,Underworld-A,Jun 16 2025 15:54,720,139,0,0,0,415769.48 
35,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,5554019,0,0,0,390402,818805,Spawn,Jul 20 2025 15:45,5,0,0,0,0,6001 
126,5.0,0.0,0.0,0.0,0.0,5.0,0.0,70.0,0.0,40.0,0.0,0.0,20.0,6.0,0.0,0.0,0.0,0.0,0,0,3,0,0,0,0,4046020,4046020,0,0,0,1032822,Town,Jul 29 2025 18:42,3,591,0,0,0,15336.82 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,22708,22708,0,0,0,22708,Spawn,Aug 7 2025 13:24,1,0,0,0,0,0 
19535,1435.0,531.0,357.0,1.0,0.0,482.0,1479.0,12600.0,0.0,1186.0,111.0,795.0,648.0,1174.0,0.0,50.0,0.0,129.0,27507008.084,9190660.325,143,0,5,0,164,2999384447,892813158,214723285,47327583,1305180895,4815380,Underworld-B,Today 00:01,4218,3,4,0,0,62951836.35 
126,6.0,0.0,0.0,0.0,0.0,18.0,0.0,12.0,0.0,76.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,14.0,86000,0,0,0,0,0,0,9773981,0,0,0,1304623,6507692,Town,Jul 20 2025 18:54,5,0,0,0,0,93110 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,13462,0,0,0,0,13462,Spawn,May 30 2025 03:47,1,0,0,0,0,0 
84,4.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,57.0,0.0,0.0,28.0,10.0,0.0,0.0,0.0,3.0,0,0,0,0,0,0,0,2574918,2574918,2574918,0,0,998552,Town,Aug 19 2025 04:52,4,0,0,0,0,0 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,552470,552470,0,0,0,222865,Spawn,Aug 14 2025 19:02,2,0,0,0,0,10000 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,194762,0,0,0,0,194762,Spawn,Jul 24 2025 15:11,1,0,0,0,0,0 
11721,1069.0,0.0,8.0,32.0,0.0,1445.0,1795.0,4477.0,0.0,1456.0,0.0,897.0,728.0,1076.0,65.0,0.0,2.0,296.0,8453121.267,0,22,143,5,0,0,3102211900,0,0,0,1821695814,846187,Underworld-A,Jul 20 2025 19:06,1771,41,0,3,0,7431.53 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,11987,0,0,0,0,11987,Spawn,Jun 3 2025 14:35,1,0,0,0,0,0 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,0,0,863036,0,0,0,0,98321,Spawn,Jun 25 2025 20:58,2,0,0,0,0,29500 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,129546,0,0,0,0,129546,Spawn,May 31 2025 12:50,1,0,0,0,0,10000 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,32734,0,0,0,0,32734,Spawn,Jul 7 2025 17:47,1,0,0,0,0,0 
101,4.0,0.0,0.0,0.0,0.0,43.0,0.0,36.0,0.0,3.0,0.0,0.0,1.0,13.0,2.0,0.0,0.0,0.0,0,0,5,0,1,0,7,14074022,14074022,0,0,1080853,19732,Town,Aug 11 2025 18:26,22,448,0,0,0,30979.88 
41,15.0,0.0,0.0,0.0,0.0,16.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,22704771,22704771,22704771,0,0,203325,Town,Sunday 20:14,18,0,0,0,0,1075645.52 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,558474,0,0,0,0,558474,Spawn,May 25 2025 18:03,1,0,0,0,0,10500 
19,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,4,0,0,695620,695620,0,0,0,672520,Town,Jul 28 2025 18:13,2,0,0,0,0,0 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,161121,0,0,0,0,98197,Town,May 30 2025 14:28,2,0,0,0,0,10000 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,1257096,317378,0,0,0,317378,Spawn,Aug 17 2025 09:55,7,0,0,0,0,15000 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,143375,0,0,0,0,143375,Spawn,Jun 4 2025 12:15,1,0,0,0,0,10000 
2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,1319788,0,0,0,0,8462,Spawn,May 30 2025 23:45,7,0,0,0,0,0 
42,4.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,27.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4765058,4765058,948275,0,186874,336054,Town,Aug 20 2025 04:16,7,0,0,0,0,6000 
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,570074,0,0,0,0,67064,Underworld-B,Jun 30 2025 02:04,3,0,0,0,0,10000 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,371394,371394,0,0,0,51719,Spawn,Aug 17 2025 21:49,2,0,0,0,0,0 
94,6.0,0.0,0.0,0.0,0.0,16.0,0.0,9.0,0.0,60.0,0.0,0.0,30.0,2.0,0.0,0.0,0.0,1.0,0,0,4,0,0,0,0,11915814,0,0,0,1288226,1774,Town,Jun 21 2025 12:16,14,524,0,0,0,891.26 
96,6.0,0.0,0.0,0.0,0.0,4.0,14.0,2.0,0.0,49.0,1.0,7.0,25.0,14.0,0.0,0.0,0.0,6.0,2203,0,0,0,0,0,0,11397318,0,0,0,1919531,587320,Town,Jul 16 2025 18:12,17,804,0,0,0,16733.95 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,17844,0,0,0,0,17844,Spawn,Jun 16 2025 21:12,1,0,0,0,0,0 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,367815,0,0,0,0,367815,Spawn,Jun 1 2025 18:15,1,0,0,0,0,0 
11853,1514.0,857.0,112.0,11.0,0.0,283.0,159.0,6409.0,26.0,1178.0,109.0,134.0,643.0,994.0,0.0,0.0,1.0,200.0,9809796.575,2303884.775,143,0,4,0,34,2037414571,204435854,31058191,16349579,680623867,931999,Underworld-B,Yesterday 20:35,2260,20,14,4,0,14984219.2 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,295330,0,0,0,0,173736,Town,Jun 1 2025 16:23,2,0,0,0,0,0 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,270010,0,0,0,0,131002,Spawn,Jun 12 2025 23:36,3,0,0,0,0,0 
6008,913.0,0.0,0.0,0.0,0.0,189.0,307.0,2437.0,0.0,1289.0,188.0,247.0,738.0,576.0,0.0,0.0,10.0,99.0,0,0,39,0,4,0,0,1695340955,0,0,0,1110627998,95765,Underworld-A,Jul 10 2025 14:07,1654,72,0,0,0,7622909.98 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,830611,0,0,0,0,138332,Spawn,Jun 16 2025 10:16,2,0,0,0,0,10000 
17,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1893193,0,0,0,0,86908,Town,Jun 27 2025 21:30,6,0,0,0,0,1000 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,204420,0,0,0,0,204420,Spawn,Jun 26 2025 22:33,1,0,0,0,0,0 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,984785,0,0,0,733367,984785,Spawn,Jul 24 2025 22:17,1,0,0,0,0,1000 
38,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0,0,4,0,0,0,0,5247838,0,0,0,740253,67897,Town,Jun 28 2025 16:58,7,720,0,0,0,1308.77 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,53236,53236,0,0,0,12998,Spawn,Aug 10 2025 18:07,2,0,0,0,0,0 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,1035439,0,0,0,0,42752,Spawn,Jul 13 2025 00:55,4,0,0,0,0,0 
1563,107.0,237.0,0.0,19.0,0.0,109.0,173.0,491.0,0.0,203.0,0.0,86.0,101.0,211.0,0.0,0.0,0.0,13.0,488160,219200,25,0,2,0,22,317675637,3520682,370266,370266,94717494,269971,Spawn,Yesterday 20:20,632,219,0,0,0,3850786.58 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,110259,0,0,0,0,110259,Spawn,Jul 21 2025 08:42,1,0,0,0,0,10000 
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8250,0,3,0,0,0,0,1433523,0,0,0,0,1116719,Town,Jul 23 2025 10:47,2,0,0,0,0,23613 
4268,356.0,438.0,17.0,8.0,0.0,352.0,108.0,1442.0,0.0,1100.0,37.0,72.0,568.0,392.0,1.0,0.0,0.0,17.0,0,0,23,0,3,0,0,986902372,0,0,0,656898149,232379,Underworld-B,Jul 7 2025 23:00,1110,133,0,0,0,598714.65 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,170723,0,0,0,0,78442,Town,Jun 5 2025 21:10,4,0,0,0,0,1000 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,0,0,1228867,0,0,0,0,336956,Spawn,Jul 13 2025 10:33,5,436,0,0,0,34838.65 
37,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,31138944,0,0,0,14489005,2087201,Underworld-B,Jul 7 2025 00:20,31,0,0,0,0,62901.22 
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1706074,0,0,0,0,751765,Spawn,Jun 9 2025 13:49,2,0,0,0,0,10000 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1650808,0,0,0,0,16380,Spawn,Jun 22 2025 21:33,2,0,0,0,0,0 
328,25.0,2.0,0.0,7.0,0.0,39.0,0.0,120.0,0.0,117.0,1.0,0.0,59.0,1.0,0.0,0.0,0.0,16.0,0,0,3,0,0,0,0,45398351,0,0,0,3655117,318015,Town,Jun 26 2025 07:35,33,416,0,0,0,168131.81 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2122,0,0,0,0,2122,Spawn,Jun 1 2025 21:34,1,0,0,0,0,0 
36,6.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,18.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,7148892,0,0,0,0,698973,Town,Jun 9 2025 17:34,7,0,0,0,0,15500 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,50292,0,0,0,0,29031,Spawn,Jul 7 2025 04:14,2,0,0,0,0,15000 
68,3.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,48.0,1.0,0.0,24.0,2.0,0.0,0.0,0.0,3.0,0,0,3,0,0,0,0,9193400,9193400,0,0,3438451,1386051,Town,Jul 29 2025 20:01,9,668,0,0,0,8483.58 
1717,136.0,0.0,0.0,7.0,0.0,132.0,0.0,627.0,0.0,575.0,29.0,14.0,302.0,95.0,0.0,0.0,0.0,116.0,497360,237360,10,0,0,0,111,992132954,511770,0,0,810998556,502828,Town,Aug 13 2025 23:33,285,209,0,0,0,4447672.45 
120,19.0,0.0,0.0,0.0,0.0,8.0,0.0,26.0,0.0,62.0,1.0,0.0,31.0,1.0,0.0,0.0,0.0,3.0,0,0,0,0,0,0,0,26732680,0,0,0,180555,116924,Underworld-A,Jul 2 2025 08:22,86,321,0,0,0,292505 
6468,225.0,0.0,0.0,8.0,0.0,429.0,0.0,4422.0,0.0,1142.0,159.0,79.0,650.0,79.0,0.0,0.0,1.0,3.0,6600,6600,91,0,5,0,1,2563921129,25597495,0,0,1631055084,773251,Underworld-B,Aug 6 2025 21:53,1416,43,0,0,0,2571284.26 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,88895,88895,0,0,0,88895,Spawn,Aug 18 2025 13:25,1,0,0,0,0,0 
8105,251.0,0.0,15.0,21.0,0.0,73.0,1308.0,5156.0,0.0,831.0,29.0,668.0,430.0,329.0,0.0,0.0,3.0,89.0,2490610.95,1398601.95,143,0,2,1,63,1063645638,408802844,108658789,206826,320173571,185053,Underworld-B,Yesterday 09:43,2629,15,0,0,0,1139640.25 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,30239,0,0,0,0,30239,Spawn,May 29 2025 13:47,1,0,0,0,0,0 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,892627,0,0,0,0,89631,Spawn,May 30 2025 18:01,4,0,0,0,0,1000 
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,734775,0,0,0,0,304917,Spawn,Jul 10 2025 23:15,3,0,0,0,0,29000 
78,3.0,0.0,0.0,4.0,0.0,12.0,0.0,10.0,0.0,36.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,10.0,0,0,0,0,0,0,0,5294501,0,0,0,0,27749,Town,May 26 2025 13:21,9,665,0,0,0,22647.16 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,147468,0,0,0,0,147468,Spawn,Jul 20 2025 06:35,1,0,0,0,0,10000 
175,5.0,0.0,0.0,0.0,0.0,28.0,0.0,26.0,0.0,107.0,1.0,0.0,54.0,6.0,0.0,0.0,0.0,2.0,0,0,2,0,0,0,0,18919384,0,0,0,1380783,6402,Town,Jul 14 2025 07:28,33,581,0,0,0,63300.21 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,899700,0,0,0,0,899700,Spawn,Jun 20 2025 09:18,1,0,0,0,0,37500 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,123219,69967,0,0,0,69967,Spawn,Jul 27 2025 11:43,2,0,0,0,0,0 
